anchor,positive,negative
"19, Sutton Place, Unit 2, Agawam, Hampden County, Massachusetts, 01001","238, Maple Street, Unit f-6, Agawam, Hampden County, Massachusetts, 01001","171, Lincoln Avenue, Unit 2n, Amherst, Hampshire County, Massachusetts, 01002"
"238, Maple Street, Unit f-6, Agawam, Hampden County, Massachusetts, 01001","19, Sutton Place, Unit 2, Agawam, Hampden County, Massachusetts, 01001","15, Cat Alley, Unit c, Barre, Worcester County, Massachusetts, 01005"
"450, Silver Street, Agawam, Hampden County, Massachusetts, 01001","42, Vadnais Street, Agawam, Hampden County, Massachusetts, 01001","32, Lavalle Avenue, Unit 2, Chicopee, Hampden County, Massachusetts, 01020"
"19, Sutton Place, Unit 2, Agawam, Hampden County, Massachusetts, 01001","238, Maple Street, Unit f-6, Agawam, Hampden County, Massachusetts, 01001","41, Sturbridge Road, Brimfield, Hampden County, Massachusetts, 01010"
"108, Corey Colonial, Agawam, Hampden County, Massachusetts, 01001","152, Beekman Drive, Agawam, Hampden County, Massachusetts, 01001","5, Castle Hill Road, Unit b, Agawam, Hampden County, Massachusetts, 01001"
"38, Edward Street, Agawam, Hampden County, Massachusetts, 01001","152, Beekman Drive, Agawam, Hampden County, Massachusetts, 01001","492, east Main Street, Chicopee, Hampden County, Massachusetts, 01020"
"152, Beekman Drive, Agawam, Hampden County, Massachusetts, 01001","108, Corey Colonial, Agawam, Hampden County, Massachusetts, 01001","43, Walter Street, Chicopee, Hampden County, Massachusetts, 01013"
"11, River Street, Agawam, Hampden County, Massachusetts, 01001","62, Walnut Street, Agawam, Hampden County, Massachusetts, 01001","2, Leclair Terrace, Unit 1, Chicopee, Hampden County, Massachusetts, 01013"
"108, Corey Colonial, Agawam, Hampden County, Massachusetts, 01001","152, Beekman Drive, Agawam, Hampden County, Massachusetts, 01001","43, Federal Street, Agawam, Hampden County, Massachusetts, 01001"
"62, Walnut Street, Agawam, Hampden County, Massachusetts, 01001","11, River Street, Agawam, Hampden County, Massachusetts, 01001","1316, Memorial Drive, Unit 8b, Chicopee, Hampden County, Massachusetts, 01020"
"42, Vadnais Street, Agawam, Hampden County, Massachusetts, 01001","450, Silver Street, Agawam, Hampden County, Massachusetts, 01001","5, Castle Hill Road, Unit b, Agawam, Hampden County, Massachusetts, 01001"
"450, Silver Street, Agawam, Hampden County, Massachusetts, 01001","42, Vadnais Street, Agawam, Hampden County, Massachusetts, 01001","280, West Street, Bldg crocker farm elementary school, Unit 205, Amherst, Hampshire County, Massachusetts, 01002"
"42, Vadnais Street, Agawam, Hampden County, Massachusetts, 01001","450, Silver Street, Agawam, Hampden County, Massachusetts, 01001","441, West Street, Unit 8, Amherst, Hampshire County, Massachusetts, 01002"
"152, Beekman Drive, Agawam, Hampden County, Massachusetts, 01001","38, Edward Street, Agawam, Hampden County, Massachusetts, 01001","52, Hunt Seat Drive, Chicopee, Hampden County, Massachusetts, 01013"
"238, Maple Street, Unit f-6, Agawam, Hampden County, Massachusetts, 01001","19, Sutton Place, Unit 2, Agawam, Hampden County, Massachusetts, 01001","381, Springfield Street, Chicopee, Hampden County, Massachusetts, 01013"
"62, Walnut Street, Agawam, Hampden County, Massachusetts, 01001","11, River Street, Agawam, Hampden County, Massachusetts, 01001","626, Sheridan Street, Chicopee, Hampden County, Massachusetts, 01020"
"11, River Street, Agawam, Hampden County, Massachusetts, 01001","62, Walnut Street, Agawam, Hampden County, Massachusetts, 01001","16 b, Mansion Woods Drive, Agawam, Hampden County, Massachusetts, 01001"
"42, Vadnais Street, Agawam, Hampden County, Massachusetts, 01001","450, Silver Street, Agawam, Hampden County, Massachusetts, 01001","134, Goodell Street, Belchertown, Hampshire County, Massachusetts, 01007"
"108, Corey Colonial, Agawam, Hampden County, Massachusetts, 01001","152, Beekman Drive, Agawam, Hampden County, Massachusetts, 01001","98, Pondview Circle, Belchertown, Hampshire County, Massachusetts, 01007"
"152, Beekman Drive, Agawam, Hampden County, Massachusetts, 01001","108, Corey Colonial, Agawam, Hampden County, Massachusetts, 01001","340, Thatcher Road, Bldg lewis hall, Amherst, Hampshire County, Massachusetts, 01003"
"450, Silver Street, Agawam, Hampden County, Massachusetts, 01001","42, Vadnais Street, Agawam, Hampden County, Massachusetts, 01001","36, Walton Street, Chicopee, Hampden County, Massachusetts, 01013"
"19, Sutton Place, Unit 2, Agawam, Hampden County, Massachusetts, 01001","238, Maple Street, Unit f-6, Agawam, Hampden County, Massachusetts, 01001","650, Main Street, Amherst, Hampshire County, Massachusetts, 01002"
"11, River Street, Agawam, Hampden County, Massachusetts, 01001","62, Walnut Street, Agawam, Hampden County, Massachusetts, 01001","25, Greenleaves Drive, Unit 536, Amherst, Hampshire County, Massachusetts, 01002"
"62, Walnut Street, Agawam, Hampden County, Massachusetts, 01001","11, River Street, Agawam, Hampden County, Massachusetts, 01001","54, Anthony Street, Agawam, Hampden County, Massachusetts, 01001"
"38, Edward Street, Agawam, Hampden County, Massachusetts, 01001","152, Beekman Drive, Agawam, Hampden County, Massachusetts, 01001","108, Oakridge Street, Chicopee, Hampden County, Massachusetts, 01020"
"38, Edward Street, Agawam, Hampden County, Massachusetts, 01001","152, Beekman Drive, Agawam, Hampden County, Massachusetts, 01001","52, Hunt Seat Drive, Chicopee, Hampden County, Massachusetts, 01013"
"238, Maple Street, Unit f-6, Agawam, Hampden County, Massachusetts, 01001","19, Sutton Place, Unit 2, Agawam, Hampden County, Massachusetts, 01001","441, West Street, Unit 8, Amherst, Hampshire County, Massachusetts, 01002"
